,feature,review,similarity score
0,"choose own plans or workouts in app,can also load own workouts through custom workout builder","The googles are fine and the workout generation is fine. However, something as basic as pausing your workout plan or being able to go back and pick up in you plan where you left off is not possible. If, for whatever reason, I don’t have the ability to complete 3 swims a week for 8 weeks, I should be able to go back to the last swim I completed and start from there. The progression system is time locked like an AFK video game. There’s no reason that I should have to wait 7 days for a workout week to unlock and then not be able to go back and complete missed workouts. Part of this is building endurance or achieving a goal set in the plan and if I don’t take the proper steps of progression then I don’t get as much out of week 7 as I could if I left off on week 3 This seems like a HUGE miss on their part and completely neuters an entire aspect of what could make this set up great.",0.99827033
1,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I like the FORM goggles and what they provide, but I just cannot understand why I need to pay an extra $19 a month to import workouts I write myself into a product I already own. 

If I wanted to access the library, or share workouts with my friends (spoiler - I have none. I’m a triathlete… lol) that would be one thing. But it seems exploitative to force me to pay a recurring fee to use even the most basic feature.

I just want to see my own workouts in front of me. Why do I have to send money to other people for that privilege?!",0.99827033
2,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I was really disappointed to learn the collected data from the Form Goggles cannot be pushed to Garmin Connect. Form should take a look at how Zwift (for cycling) does it because it cannot be that hard!

UPDATE:
Response from Form: “Unfortunately this is due to a limitation from Garmin's side and we are not able to send them our data.”

My Response:
First, thank you for responding, it shows Form cares about customer satisfaction. However, Zwift (and I’m sure others) seems to send data to Garmin Connect just fine, how is this Garmin’s limitation? 

BTW, I’ve been a developer for 25 years so I can understand technical limitations between disparate systems but if other platforms are pushing data to Garmin, the problem is most likely NOT them.",0.99827033
3,"choose own plans or workouts in app,can also load own workouts through custom workout builder","Goggles/software do function well and as advertised. However, subscription price for workouts in addition to the high initial cost of buying their product is a slap in the face. Almost every other sport tracking wearable gives you the ability to integrate workouts with no extra cost. I will stick to manually performing workouts with the unsubscribed version until they break, then likely seek a different brand.",0.99827033
4,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I have these googles and they are pretty neat.  I’m fortunate to be grandfathered in and the workouts features are nice.  I’m very disappointed that Form decided to move to a subscription model for any future users.  You CAN NOT use these goggles without a subscription now.

The subscription is on par with the cost of a Peleton subscription and more than Zwift or Wahoo Systm, and provides way less value.

See below the email I received from FORM.

If you purchased your goggles before May 26, your FORM experience won't change. But we wanted to let you know what's changing for swimmers who purchase after May 26. Real-time metrics in pool, open water, and swim spa are now part of the FORM membership. New swimmers will be required to have an active membership to access this and all member features.",0.99827033
5,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I have been using the goggles regularly for both pool and OW swims. Both with Apple Watch and Garmin connect as the goggles when used for OW simply function as a display while the Watch control the recording and swim.

1. Current pace not available, only average page for entire workout
2. HR displayed after pausing workout is wrong, both in FORM app and goggles. Heart rate shown is 20 BPM above actual rate and when examine using the FORM app the entire second half of the swim has HR increased by 20 BPM compared to first half.

In short totally unreliable data.

Furthermore this kind of errors are obvious software bugs and reveals that the goggles have not been tested properly when used for OW swims.

The only thing the goggles can be used for during OW swim is to display the total distance.",0.99827033
6,"choose own plans or workouts in app,can also load own workouts through custom workout builder","Compared to regular swim googles these googles reduce your vision by about 50 percent. That’s a big trade off to have have data that is available, slightly delayed, from other sources like Apple Watch and and pool time clocks.  Open water swimming requires navigation and spotting landmarks.  This is extremely difficult with the tunnel vision and smoked tint of these google.  Feels like you are swimming in a cave.  Fit is average as the googles can be worn with either side up which is sub-optimal for a good fit.",0.99827033
7,"choose own plans or workouts in app,can also load own workouts through custom workout builder","The googles are great! The app is also clean and easy to use. However, as a competitive swimmer many of the workouts are very simple. I would like the ability to create my own workouts so then I have complete control on the workouts and then could align with my workout schedule.",0.99885476
8,"choose own plans or workouts in app,can also load own workouts through custom workout builder","I use a Garmin watch and Garmin connect to track my swims. Form will retrieve my data from the watch but if I just use the goggle data it won’t interface with Garmin connect. Also I accidentally deleted a swim and there is no way to re-retrieve the data or copy yesterday’s swim. It’s a new app so I get it. The goggles are awesome, clear and informative.",0.99827033
9,"choose own plans or workouts in app,can also load own workouts through custom workout builder",There is no app support. Multiple attempts at contact have gone unanswered for weeks. No ability to create your own workout and download to goggles. Have to join a subscription service for workouts. There are some included with the app but seem ti be geared to the novice swimmer.,0.8294058
10,"choose own plans or workouts in app,can also load own workouts through custom workout builder",How many times do I have to say 'no thanks to join your free trial? It's however many times a week I Swim! Stop harassing me,0.9993897
11,"choose own plans or workouts in app,can also load own workouts through custom workout builder",The software is decent. The actual goggles have poor field of vision for sighting in open water,0.9996425
12,"choose own plans or workouts in app,can also load own workouts through custom workout builder",for some reason the app doesnt work for me.,0.99999106
13,"choose own plans or workouts in app,can also load own workouts through custom workout builder",The fit is superb. The lap count and total distance cover are inaccurate. I noticed that the unit misses flip turns occasionally.,0.9424567
14,"choose own plans or workouts in app,can also load own workouts through custom workout builder",App is not intuitive and difficult to navigate on phone. Googles are horribly inconsistent in tracking laps.  Very disappointed.,0.99966925
15,"choose own plans or workouts in app,can also load own workouts through custom workout builder",The goggles are the best thing in the pool I just wish it would connect to the apple health app,0.9994904
16,"choose own plans or workouts in app,can also load own workouts through custom workout builder",My one complaint is the main stats can’t include Average Pace / 100 yards!,0.15309167
